enstID	enstVersion	genovo_LOEUF_corrected	ensembl_transcript_id	Approved_Symbol	HGNC_ID	entrezgene_id	description	is_canon
ENST00000409248	4	2.464094916	ENST00000409248	NICOL1	HGNC:34437	401115.0	NELL2 interacting cell ontogeny regulator 1 [Source:HGNC Symbol;Acc:HGNC:34437]	True
ENST00000452015	4	0.644671075	ENST00000452015	PPP1R3E	HGNC:14943	90673.0	protein phosphatase 1 regulatory subunit 3E [Source:HGNC Symbol;Acc:HGNC:14943]	True
ENST00000448387	2	0.239319149	ENST00000448387	GOLGA8N	HGNC:44405	643699.0	golgin A8 family member N [Source:HGNC Symbol;Acc:HGNC:44405]	True
ENST00000327271	10	1.177913665	ENST00000327271	GOLGA8R	HGNC:44407	101059918.0	golgin A8 family member R [Source:HGNC Symbol;Acc:HGNC:44407]	True
ENST00000422806	1	0.0	ENST00000422806	NKX1-1	HGNC:24975	54729.0	NK1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:24975]	True
ENST00000377647	3	0.119349306	ENST00000377647	SPATA31A1	HGNC:23394	647060.0	SPATA31 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:23394]	True
ENST00000381697	2	1.754253811	ENST00000381697	NUTM2D	HGNC:23447	728130.0	NUT family member 2D [Source:HGNC Symbol;Acc:HGNC:23447]	True
ENST00000333432	6	0.83346572	ENST00000333432	POLR2J2	HGNC:23208	246721.0	RNA polymerase II subunit J2 [Source:HGNC Symbol;Acc:HGNC:23208]	True
ENST00000504333	1	2.144849514	ENST00000504333	LINC02108	HGNC:52963	101928600.0	long intergenic non-protein coding RNA 2108 [Source:HGNC Symbol;Acc:HGNC:52963]	True
ENST00000376325	4	0.210664988	ENST00000376325	SHISA7	HGNC:35409	729956.0	shisa family member 7 [Source:HGNC Symbol;Acc:HGNC:35409]	True
ENST00000320248	3	0.870617169	ENST00000320248	KBTBD11	HGNC:29104	9920.0	kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]	True
ENST00000371542	3	2.271070645	ENST00000371542	LRRC26	HGNC:31409	389816.0	leucine rich repeat containing 26 [Source:HGNC Symbol;Acc:HGNC:31409]	True
ENST00000453464	2	2.81236159	ENST00000453464	RNF223	HGNC:40020	401934.0	ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]	True
ENST00000360171	6	1.495197774	ENST00000360171	ZNG1C	HGNC:18519	150472.0	Zn regulated GTPase metalloprotein activator 1C [Source:HGNC Symbol;Acc:HGNC:18519]	True
ENST00000512626	2	1.719047923	ENST00000512626	GOLGA8K	HGNC:38652	653125.0	golgin A8 family member K [Source:HGNC Symbol;Acc:HGNC:38652]	True
ENST00000310109	4	1.204681188	ENST00000310109	LIPT2	HGNC:37216	387787.0	lipoyl(octanoyl) transferase 2 [Source:HGNC Symbol;Acc:HGNC:37216]	True
ENST00000381393	3	1.627989213	ENST00000381393	MBD3L2	HGNC:18532	125997.0	methyl-CpG binding domain protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:18532]	True
ENST00000565886	1	1.651405495	ENST00000565886	TGFBR3L	HGNC:44152	100507588.0	transforming growth factor beta receptor 3 like [Source:HGNC Symbol;Acc:HGNC:44152]	True
ENST00000569052	1	1.424136576	ENST00000569052	GOLGA8T	HGNC:44410	653075.0	golgin A8 family member T [Source:HGNC Symbol;Acc:HGNC:44410]	True
ENST00000369800	5	0.291756499	ENST00000369800	NEURL1B	HGNC:35422	54492.0	neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]	True
ENST00000425639	1	0.453152208	ENST00000425639	SKOR2	HGNC:32695	652991.0	SKI family transcriptional corepressor 2 [Source:HGNC Symbol;Acc:HGNC:32695]	True
ENST00000451024	3	2.867176992	ENST00000451024	NKX1-2	HGNC:31652	390010.0	NK1 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:31652]	True
ENST00000607829	1	0.2992845	ENST00000607829	ASDURF	HGNC:53619	110599588.0	ASNSD1 upstream open reading frame [Source:HGNC Symbol;Acc:HGNC:53619]	True
ENST00000379011	4	2.533100242	ENST00000379011	C11orf91	HGNC:34444	100131378.0	chromosome 11 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:34444]	True
ENST00000557527	1	1.669787399	ENST00000557527	LINC01148	HGNC:27507	283585.0	long intergenic non-protein coding RNA 1148 [Source:HGNC Symbol;Acc:HGNC:27507]	True
ENST00000567927	1	1.783255806	ENST00000567927	GOLGA8J	HGNC:38650	653073.0	golgin A8 family member J [Source:HGNC Symbol;Acc:HGNC:38650]	True
ENST00000380392	3	2.802820467	ENST00000380392	C2CD4B	HGNC:33628	388125.0	C2 calcium dependent domain containing 4B [Source:HGNC Symbol;Acc:HGNC:33628]	True
ENST00000330330	5	0.310892689	ENST00000330330	AMY1B	HGNC:475	277.0	amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475]	True
ENST00000301408	6	1.980870683	ENST00000301408	CGB5	HGNC:16452	93659.0	chorionic gonadotropin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:16452]	True
ENST00000509311	2	0.728546698	ENST00000509311	GOLGA8O	HGNC:44406	728047.0	golgin A8 family member O [Source:HGNC Symbol;Acc:HGNC:44406]	True
ENST00000438998	2	1.2961932	ENST00000438998	PSMG4	HGNC:21108	389362.0	proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]	True
ENST00000529166	1	0.328901513	ENST00000529166	NPIPA2	HGNC:41979	642799.0	nuclear pore complex interacting protein family member A2 [Source:HGNC Symbol;Acc:HGNC:41979]	True
ENST00000366425	3	0.872547905	ENST00000366425	GP1BB	HGNC:4440	2812.0	glycoprotein Ib platelet subunit beta [Source:HGNC Symbol;Acc:HGNC:4440]	True
ENST00000558797	1	2.03817307	ENST00000558797	LINC01169	HGNC:49541	102723165.0	long intergenic non-protein coding RNA 1169 [Source:HGNC Symbol;Acc:HGNC:49541]	True
ENST00000394967	2	0.223911744	ENST00000394967	SP9	HGNC:30690	100131390.0	Sp9 transcription factor [Source:HGNC Symbol;Acc:HGNC:30690]	True
ENST00000568956	1	0.082057651	ENST00000568956	ZNF865	HGNC:38705	100507290.0	zinc finger protein 865 [Source:HGNC Symbol;Acc:HGNC:38705]	True
ENST00000511113	1	1.580607959	ENST00000511113	MGAT4D	HGNC:43619	152586.0	MGAT4 family member D [Source:HGNC Symbol;Acc:HGNC:43619]	True
ENST00000429828	1	1.504460721	ENST00000429828	NUTM2B	HGNC:23445	729262.0	NUT family member 2B [Source:HGNC Symbol;Acc:HGNC:23445]	True
ENST00000381707	2	1.278048044	ENST00000381707	NUTM2A	HGNC:23438	728118.0	NUT family member 2A [Source:HGNC Symbol;Acc:HGNC:23438]	True
ENST00000299443	5	0.803160162	ENST00000299443	POTED	HGNC:23822	317754.0	POTE ankyrin domain family member D [Source:HGNC Symbol;Acc:HGNC:23822]	True
ENST00000563496	1	1.732837454	ENST00000563496	TCF24	HGNC:32275	100129654.0	transcription factor 24 [Source:HGNC Symbol;Acc:HGNC:32275]	True
ENST00000300057	4	3.438353021	ENST00000300057	MESP1	HGNC:29658	55897.0	mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658]	True
ENST00000320254	5	0.426548104	ENST00000320254	LRRC37A	HGNC:29069	9884.0	leucine rich repeat containing 37A [Source:HGNC Symbol;Acc:HGNC:29069]	True
ENST00000347708	4	0.678775471	ENST00000347708	HGH1	HGNC:24161	51236.0	HGH1 homolog [Source:HGNC Symbol;Acc:HGNC:24161]	True
ENST00000286918	4	0.599477033	ENST00000286918	ANKRD9	HGNC:20096	122416.0	ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096]	True
ENST00000302096	4	1.214827223	ENST00000302096	LKAAEAR1	HGNC:33718	198437.0	LKAAEAR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:33718]	True
ENST00000571838	1	1.934785882	ENST00000571838	CCER2	HGNC:44662	643669.0	coiled-coil glutamate rich protein 2 [Source:HGNC Symbol;Acc:HGNC:44662]	True
ENST00000378626	4	1.053354571	ENST00000378626	LGALS7	HGNC:6568	3963.0	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	True
ENST00000325333	5	0.652425848	ENST00000325333	ZNF580	HGNC:29473	51157.0	zinc finger protein 580 [Source:HGNC Symbol;Acc:HGNC:29473]	True
ENST00000304477	2	0.330757255	ENST00000304477	UTF1	HGNC:12634	8433.0	undifferentiated embryonic cell transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12634]	True
ENST00000357383	4	1.180900708	ENST00000357383	CGB3	HGNC:1886	1082.0	chorionic gonadotropin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1886]	True
ENST00000398146	3	0.285965712	ENST00000398146	RGPD2	HGNC:32415	729857.0	RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]	True
ENST00000341130	5	1.383567266	ENST00000341130	TMEM221	HGNC:21943	100130519.0	transmembrane protein 221 [Source:HGNC Symbol;Acc:HGNC:21943]	True
ENST00000359315	5	1.54159879	ENST00000359315	TPGS1	HGNC:25058	91978.0	tubulin polyglutamylase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:25058]	True
ENST00000495380	2	0.621820836	ENST00000495380	NBPF6	HGNC:31988	653149.0	NBPF member 6 [Source:HGNC Symbol;Acc:HGNC:31988]	True
ENST00000558463	1	3.534960473	ENST00000558463	SMAD3-AS1	HGNC:56692	128266842.0	SMAD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56692]	True
ENST00000587086	1	1.570163917	ENST00000587086	MISP3	HGNC:26963	113230.0	MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963]	True
ENST00000415641	3	0.231774577	ENST00000415641	NBPF4	HGNC:26550	148545.0	NBPF member 4 [Source:HGNC Symbol;Acc:HGNC:26550]	True
ENST00000546354	1	1.236581812	ENST00000546354	ERFE	HGNC:26727	151176.0	erythroferrone [Source:HGNC Symbol;Acc:HGNC:26727]	True
ENST00000450456	2	2.551123319	ENST00000450456	GJE1	HGNC:33251	100126572.0	gap junction protein epsilon 1 [Source:HGNC Symbol;Acc:HGNC:33251]	True
ENST00000530083	1	1.523873081	ENST00000530083	GATD1-DT	HGNC:29907	171391.0	GATD1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:29907]	True
ENST00000602312	1	1.240454004	ENST00000602312	SDR42E2	HGNC:35414	100288072.0	short chain dehydrogenase/reductase family 42E, member 2 [Source:HGNC Symbol;Acc:HGNC:35414]	True
ENST00000592917	1	0.653777502	ENST00000592917	LINC01999	HGNC:52834	388406.0	long intergenic non-protein coding RNA 1999 [Source:HGNC Symbol;Acc:HGNC:52834]	True
ENST00000574814	1	1.026721129	ENST00000574814	C19orf84	HGNC:27112	147646.0	chromosome 19 open reading frame 84 [Source:HGNC Symbol;Acc:HGNC:27112]	True
ENST00000330181	5	0.352810166	ENST00000330181	SLX1B	HGNC:28748	79008.0	SLX1 homolog B, structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:28748]	True
ENST00000373640	4	1.109681021	ENST00000373640	C2orf72	HGNC:27418	257407.0	chromosome 2 open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:27418]	True
ENST00000380876	4	0.202393065	ENST00000380876	EIF3CL	HGNC:26347	728689.0	eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]	True
ENST00000380243	4	0.755043542	ENST00000380243	CCDC85C	HGNC:35459	317762.0	coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:HGNC:35459]	True
ENST00000400120	3	0.746816667	ENST00000400120	ZNF705B	HGNC:32284	100131980.0	zinc finger protein 705B [Source:HGNC Symbol;Acc:HGNC:32284]	True
ENST00000601417	1	1.50024971	ENST00000601417	ERVV-2	HGNC:39051	100271846.0	endogenous retrovirus group V member 2, envelope [Source:HGNC Symbol;Acc:HGNC:39051]	True
ENST00000542437	1	2.256730476	ENST00000542437	CCDC166	HGNC:41910	100130274.0	coiled-coil domain containing 166 [Source:HGNC Symbol;Acc:HGNC:41910]	True
ENST00000520762	1	0.998628378	ENST00000520762	LINC02219	HGNC:53086	102467655.0	long intergenic non-protein coding RNA 2219 [Source:HGNC Symbol;Acc:HGNC:53086]	True
ENST00000332235	6	0.116853017	ENST00000332235	C2CD4C	HGNC:29417	126567.0	C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]	True
ENST00000246080	3	1.398637408	ENST00000246080	TCF15	HGNC:11627	6939.0	transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11627]	True
ENST00000445101	2	3.407195183	ENST00000445101	RNF224	HGNC:41912	643596.0	ring finger protein 224 [Source:HGNC Symbol;Acc:HGNC:41912]	True
ENST00000371629	1	1.737060769	ENST00000371629	LINC02692	HGNC:18147		long intergenic non-protein coding RNA 2692 [Source:HGNC Symbol;Acc:HGNC:18147]	True
ENST00000345540	5	1.405675062	ENST00000345540	KIR2DL4	HGNC:6332	3805.0	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	True
ENST00000553095	1	2.344922717	ENST00000553095	LINC02410	HGNC:53339	105369920.0	long intergenic non-protein coding RNA 2410 [Source:HGNC Symbol;Acc:HGNC:53339]	True
ENST00000377186	3	0.952082379	ENST00000377186	LINC01556	HGNC:21195		long intergenic non-protein coding RNA 1556 [Source:HGNC Symbol;Acc:HGNC:21195]	True
ENST00000504750	1	0.127974495	ENST00000504750	FRG2	HGNC:19136	448831.0	FSHD region gene 2 [Source:HGNC Symbol;Acc:HGNC:19136]	True
ENST00000536621	1	1.234569675	ENST00000536621	MUC12	HGNC:7510	10071.0	mucin 12, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7510]	True
ENST00000413619	2	2.223269789	ENST00000413619	TMEM210	HGNC:34059	100505993.0	transmembrane protein 210 [Source:HGNC Symbol;Acc:HGNC:34059]	True
ENST00000535540	1	2.501420375	ENST00000535540	KLRF2	HGNC:37646	100431172.0	killer cell lectin like receptor F2 [Source:HGNC Symbol;Acc:HGNC:37646]	True
ENST00000499227	2	2.01231799	ENST00000499227	LACTB2-AS1	HGNC:27841	286190.0	LACTB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27841]	True
ENST00000567544	1	11.7342456	ENST00000567544	LINC02166	HGNC:53027		long intergenic non-protein coding RNA 2166 [Source:HGNC Symbol;Acc:HGNC:53027]	True
ENST00000446477	2	0.774946864	ENST00000446477	PRRT4	HGNC:37280	401399.0	proline rich transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:37280]	True
ENST00000564719	1	1.524059543	ENST00000564719	MINAR2	HGNC:33914	100127206.0	membrane integral NOTCH2 associated receptor 2 [Source:HGNC Symbol;Acc:HGNC:33914]	True
ENST00000567970	1	2.094694388	ENST00000567970	C16orf95	HGNC:40033	100506581.0	chromosome 16 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:40033]	True
ENST00000382349	4	0.583002561	ENST00000382349	ONECUT3	HGNC:13399	390874.0	one cut homeobox 3 [Source:HGNC Symbol;Acc:HGNC:13399]	True
ENST00000561890	1	1.613544694	ENST00000561890	MUC22	HGNC:39755	100507679.0	mucin 22 [Source:HGNC Symbol;Acc:HGNC:39755]	True
ENST00000318245	4	3.148584383	ENST00000318245	LMO7DN	HGNC:44370	729420.0	LMO7 downstream neighbor [Source:HGNC Symbol;Acc:HGNC:44370]	True
ENST00000512175	2	1.630329335	ENST00000512175	SPMAP2L	HGNC:43771	100506564.0	sperm microtubule associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:43771]	True
ENST00000568484	1	2.554904031	ENST00000568484	TEX51	HGNC:52387	101929926.0	testis expressed 51 [Source:HGNC Symbol;Acc:HGNC:52387]	True
ENST00000432901	3	2.231618146	ENST00000432901	PET117	HGNC:40045	100303755.0	PET117 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40045]	True
ENST00000551108	1	2.080823983	ENST00000551108	OVCH1-AS1	HGNC:44484		OVCH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44484]	True
ENST00000451127	2	3.07317906	ENST00000451127	TEX22	HGNC:40026	647310.0	testis expressed 22 [Source:HGNC Symbol;Acc:HGNC:40026]	True
ENST00000340147	6	2.455434331	ENST00000340147	C5orf47	HGNC:27026	133491.0	chromosome 5 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:27026]	True
ENST00000565120	1	1.94269082	ENST00000565120	LINC01976	HGNC:52803	107546764.0	long intergenic non-protein coding RNA 1976 [Source:HGNC Symbol;Acc:HGNC:52803]	True
ENST00000407847	4	0.461087718	ENST00000407847	PRDM6	HGNC:9350	93166.0	PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]	True
ENST00000421832	2	1.415007342	ENST00000421832	CTU1	HGNC:29590	90353.0	cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590]	True
ENST00000532798	2	2.398681494	ENST00000532798	CCDC179	HGNC:44653	100500938.0	coiled-coil domain containing 179 [Source:HGNC Symbol;Acc:HGNC:44653]	True
ENST00000351817	4	1.147747651	ENST00000351817	NKX2-4	HGNC:7837	644524.0	NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]	True
ENST00000524230	2	1.054928599	ENST00000524230	TXNRD3	HGNC:20667	114112.0	thioredoxin reductase 3 [Source:HGNC Symbol;Acc:HGNC:20667]	True
ENST00000557640	1	2.078403774	ENST00000557640	RD3L	HGNC:40912	647286.0	RD3 like [Source:HGNC Symbol;Acc:HGNC:40912]	True
ENST00000511399	1	2.390895427	ENST00000511399	LINC02272	HGNC:53187		long intergenic non-protein coding RNA 2272 [Source:HGNC Symbol;Acc:HGNC:53187]	True
ENST00000318157	2	4.210120241	ENST00000318157	DEFB4B	HGNC:30193	1673.0	defensin beta 4B [Source:HGNC Symbol;Acc:HGNC:30193]	True
ENST00000221462	4	0.652967774	ENST00000221462	PPP1R37	HGNC:27607	284352.0	protein phosphatase 1 regulatory subunit 37 [Source:HGNC Symbol;Acc:HGNC:27607]	True
ENST00000550135	1	2.77819046	ENST00000550135	ZNF606-AS1	HGNC:44322	100128398.0	ZNF606 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44322]	True
ENST00000562505	1	1.372319612	ENST00000562505	LY6L	HGNC:52284	101928108.0	lymphocyte antigen 6 family member L [Source:HGNC Symbol;Acc:HGNC:52284]	True
ENST00000420128	1	0.560620227	ENST00000420128	FTCDNL1	HGNC:48661	348751.0	formiminotransferase cyclodeaminase N-terminal like [Source:HGNC Symbol;Acc:HGNC:48661]	True
ENST00000329309	3	4.393770493	ENST00000329309	NUPR2	HGNC:44164	389493.0	nuclear protein 2, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:44164]	True
ENST00000499006	2	2.784434753	ENST00000499006	LINC01550	HGNC:20111	388011.0	long intergenic non-protein coding RNA 1550 [Source:HGNC Symbol;Acc:HGNC:20111]	True
ENST00000548613	1	2.599900494	ENST00000548613	LINC02448	HGNC:53380		long intergenic non-protein coding RNA 2448 [Source:HGNC Symbol;Acc:HGNC:53380]	True
ENST00000529331	1	1.203576658	ENST00000529331	GVQW3	HGNC:51239	100506127.0	GVQW motif containing 3 [Source:HGNC Symbol;Acc:HGNC:51239]	True
ENST00000606738	2	0.137770805	ENST00000606738	TRABD2B	HGNC:44200	388630.0	TraB domain containing 2B [Source:HGNC Symbol;Acc:HGNC:44200]	True
ENST00000457052	2	0.541467152	ENST00000457052	MEIOSIN	HGNC:44318	388553.0	meiosis initiator [Source:HGNC Symbol;Acc:HGNC:44318]	True
ENST00000565469	1	1.776225503	ENST00000565469	ARMH2	HGNC:49394	101928603.0	armadillo like helical domain containing 2 [Source:HGNC Symbol;Acc:HGNC:49394]	True
ENST00000518520	1	3.166569381	ENST00000518520	SLC45A4-AS1	HGNC:56711	105375787.0	SLC45A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56711]	True
ENST00000584361	1	1.058140179	ENST00000584361	LINC01387	HGNC:44660	100130480.0	long intergenic non-protein coding RNA 1387 [Source:HGNC Symbol;Acc:HGNC:44660]	True
ENST00000341865	4	1.413974914	ENST00000341865	C6orf132	HGNC:21288	647024.0	chromosome 6 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:21288]	True
ENST00000510583	1	1.851767369	ENST00000510583	LINC02118	HGNC:52974	105378960.0	long intergenic non-protein coding RNA 2118 [Source:HGNC Symbol;Acc:HGNC:52974]	True
ENST00000549802	1	2.252225615	ENST00000549802	LINC01619	HGNC:27409	256021.0	long intergenic non-protein coding RNA 1619 [Source:HGNC Symbol;Acc:HGNC:27409]	True
ENST00000334773	6	0.544675465	ENST00000334773	DEFB105A	HGNC:18087	245908.0	defensin beta 105A [Source:HGNC Symbol;Acc:HGNC:18087]	True
ENST00000566854	1	1.792301499	ENST00000566854	NSMCE1-DT	HGNC:51368	400512.0	NSMCE1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:51368]	True
ENST00000401533	2	0.4499481	ENST00000401533	GAREM2	HGNC:27172	150946.0	GRB2 associated regulator of MAPK1 subtype 2 [Source:HGNC Symbol;Acc:HGNC:27172]	True
ENST00000517349	1	2.676438516	ENST00000517349	SMIM18	HGNC:42973	100507341.0	small integral membrane protein 18 [Source:HGNC Symbol;Acc:HGNC:42973]	True
ENST00000553330	1	2.282007779	ENST00000553330	LINC02313	HGNC:53232		long intergenic non-protein coding RNA 2313 [Source:HGNC Symbol;Acc:HGNC:53232]	True
ENST00000555187	1	1.051163886	ENST00000555187	LINC02312	HGNC:53231	100132612.0	long intergenic non-protein coding RNA 2312 [Source:HGNC Symbol;Acc:HGNC:53231]	True
ENST00000513312	1	0.645830052	ENST00000513312	MCIDAS	HGNC:40050	345643.0	multiciliate differentiation and DNA synthesis associated cell cycle protein [Source:HGNC Symbol;Acc:HGNC:40050]	True
ENST00000517562	2	1.543640817	ENST00000517562	C8orf88	HGNC:44672	100127983.0	chromosome 8 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:44672]	True
ENST00000501499	1	2.072821487	ENST00000501499	LINC02453	HGNC:53392	643770.0	long intergenic non-protein coding RNA 2453 [Source:HGNC Symbol;Acc:HGNC:53392]	True
ENST00000377924	4	2.416801809	ENST00000377924	LRRC3C	HGNC:40034	100505591.0	leucine rich repeat containing 3C [Source:HGNC Symbol;Acc:HGNC:40034]	True
ENST00000586005	1	4.778475574	ENST00000586005	SMIM22	HGNC:48329	440335.0	small integral membrane protein 22 [Source:HGNC Symbol;Acc:HGNC:48329]	True
ENST00000523446	1	1.219307618	ENST00000523446	LINC01848	HGNC:52663		long intergenic non-protein coding RNA 1848 [Source:HGNC Symbol;Acc:HGNC:52663]	True
ENST00000526619	2	0.307691143	ENST00000526619	GOLGA8F	HGNC:32378	100132565.0	golgin A8 family member F [Source:HGNC Symbol;Acc:HGNC:32378]	True
ENST00000426928	2	1.180007786	ENST00000426928	LACTBL1	HGNC:35445	646262.0	lactamase beta like 1 [Source:HGNC Symbol;Acc:HGNC:35445]	True
ENST00000419474	3	0.318310471	ENST00000419474	ZFHX2	HGNC:20152	85446.0	zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]	True
ENST00000548523	1	1.287858638	ENST00000548523	C19orf67	HGNC:34354	646457.0	chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354]	True
ENST00000601380	2	1.384029426	ENST00000601380	ANKDD1B	HGNC:32525	728780.0	ankyrin repeat and death domain containing 1B [Source:HGNC Symbol;Acc:HGNC:32525]	True
