sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"KCND3","Approved symbol","KCND3","potassium voltage-gated channel subfamily D member 3","HGNC:6239","1p13.2"
"ERF","Approved symbol","ERF","ETS2 repressor factor","HGNC:3444","19q13.2"
"ERF","Previous symbol","ETF1","eukaryotic translation termination factor 1","HGNC:3477","5q31.2"
"EZH2","Approved symbol","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","HGNC:3527","7q36.1"
"U2AF2","Approved symbol","U2AF2","U2 small nuclear RNA auxiliary factor 2","HGNC:23156","19q13.42"
"VCP","Approved symbol","VCP","valosin containing protein","HGNC:12666","9p13.3"
"MED13L","Approved symbol","MED13L","mediator complex subunit 13L","HGNC:22962","12q24.21"
"SUPT6H","Approved symbol","SUPT6H","SPT6 homolog, histone chaperone and transcription elongation factor","HGNC:11470","17q11.2"
"STAT3","Approved symbol","STAT3","signal transducer and activator of transcription 3","HGNC:11364","17q21.2"
"SEPHS1","Approved symbol","SEPHS1","selenophosphate synthetase 1","HGNC:19685","10p13"
"CTBP1","Approved symbol","CTBP1","C-terminal binding protein 1","HGNC:2494","4p16.3"
"SMAD4","Approved symbol","SMAD4","SMAD family member 4","HGNC:6770","18q21.2"
"NFAT5","Approved symbol","NFAT5","nuclear factor of activated T cells 5","HGNC:7774","16q22.1"
"KDM2A","Approved symbol","KDM2A","lysine demethylase 2A","HGNC:13606","11q13.2"
"AGO1","Approved symbol","AGO1","argonaute RISC component 1","HGNC:3262","1p34.3"
"CHD4","Approved symbol","CHD4","chromodomain helicase DNA binding protein 4","HGNC:1919","12p13.31"
"CCND2","Approved symbol","CCND2","cyclin D2","HGNC:1583","12p13.32"
"KCNB1","Approved symbol","KCNB1","potassium voltage-gated channel subfamily B member 1","HGNC:6231","20q13.13"
"EFTUD2","Approved symbol","EFTUD2","elongation factor Tu GTP binding domain containing 2","HGNC:30858","17q21.31"
"FGF12","Approved symbol","FGF12","fibroblast growth factor 12","HGNC:3668","3q28-q29"
"KDM4A","Approved symbol","KDM4A","lysine demethylase 4A","HGNC:22978","1p34.2-p34.1"
"SOX10","Approved symbol","SOX10","SRY-box transcription factor 10","HGNC:11190","22q13.1"
"SIX3","Approved symbol","SIX3","SIX homeobox 3","HGNC:10889","2p21"
"DCAF8","Approved symbol","DCAF8","DDB1 and CUL4 associated factor 8","HGNC:24891","1q23.2"
"KPNB1","Approved symbol","KPNB1","karyopherin subunit beta 1","HGNC:6400","17q21.32"
"DHX9","Approved symbol","DHX9","DExH-box helicase 9","HGNC:2750","1q25.3"
"RAN","Approved symbol","RAN","RAN, member RAS oncogene family","HGNC:9846","12q24.33"
"PTPN11","Approved symbol","PTPN11","protein tyrosine phosphatase non-receptor type 11","HGNC:9644","12q24.13"
"SNRNP200","Approved symbol","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200","HGNC:30859","2q11.2"
"SF3B1","Approved symbol","SF3B1","splicing factor 3b subunit 1","HGNC:10768","2q33.1"
"DCTN2","Approved symbol","DCTN2","dynactin subunit 2","HGNC:2712","12q13.3"
"PTK2","Approved symbol","PTK2","protein tyrosine kinase 2","HGNC:9611","8q24.3"
"MAP2K2","Approved symbol","MAP2K2","mitogen-activated protein kinase kinase 2","HGNC:6842","19p13.3"
"PRMT1","Approved symbol","PRMT1","protein arginine methyltransferase 1","HGNC:5187","19q13.33"
"SCN8A","Approved symbol","SCN8A","sodium voltage-gated channel alpha subunit 8","HGNC:10596","12q13.13"
"HRAS","Approved symbol","HRAS","HRas proto-oncogene, GTPase","HGNC:5173","11p15.5"
"PIK3R1","Approved symbol","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","HGNC:8979","5q13.1"
"DHX30","Approved symbol","DHX30","DExH-box helicase 30","HGNC:16716","3p21.31"
"SMC3","Approved symbol","SMC3","structural maintenance of chromosomes 3","HGNC:2468","10q25.2"
"GSK3A","Approved symbol","GSK3A","glycogen synthase kinase 3 alpha","HGNC:4616","19q13.2"
"SRCAP","Approved symbol","SRCAP","Snf2 related CREBBP activator protein","HGNC:16974","16p11.2"
"LARP1","Approved symbol","LARP1","La ribonucleoprotein 1, translational regulator","HGNC:29531","5q33.2"
"PRKAG1","Approved symbol","PRKAG1","protein kinase AMP-activated non-catalytic subunit gamma 1","HGNC:9385","12q13.12"
"KPNA6","Approved symbol","KPNA6","karyopherin subunit alpha 6","HGNC:6399","1p35.2"
"GNB1","Approved symbol","GNB1","G protein subunit beta 1","HGNC:4396","1p36.33"
"PPP2CA","Approved symbol","PPP2CA","protein phosphatase 2 catalytic subunit alpha","HGNC:9299","5q31.1"
"TOX4","Approved symbol","TOX4","TOX high mobility group box family member 4","HGNC:20161","14q11.2"
"XPO1","Approved symbol","XPO1","exportin 1","HGNC:12825","2p15"
"FGFR1","Approved symbol","FGFR1","fibroblast growth factor receptor 1","HGNC:3688","8p11.23"
"TUBA1B","Approved symbol","TUBA1B","tubulin alpha 1b","HGNC:18809","12q13.12"
"HCN1","Approved symbol","HCN1","hyperpolarization activated cyclic nucleotide gated potassium channel 1","HGNC:4845","5p12"
"UNCX","Approved symbol","UNCX","UNC homeobox","HGNC:33194","7p22.3"
"SUPT5H","Approved symbol","SUPT5H","SPT5 homolog, DSIF elongation factor subunit","HGNC:11469","19q13.2"
"KCNA2","Approved symbol","KCNA2","potassium voltage-gated channel subfamily A member 2","HGNC:6220","1p13.3"
"AGO2","Approved symbol","AGO2","argonaute RISC catalytic component 2","HGNC:3263","8q24.3"
"DDB1","Approved symbol","DDB1","damage specific DNA binding protein 1","HGNC:2717","11q12.2"
"ETF1","Approved symbol","ETF1","eukaryotic translation termination factor 1","HGNC:3477","5q31.2"
"NKX1-1","Approved symbol","NKX1-1","NK1 homeobox 1","HGNC:24975","4p16.3"
"CACNA1A","Approved symbol","CACNA1A","calcium voltage-gated channel subunit alpha1 A","HGNC:1388","19p13.13"
"PPP1R8","Approved symbol","PPP1R8","protein phosphatase 1 regulatory subunit 8","HGNC:9296","1p35.3"
"AUP1","Approved symbol","AUP1","AUP1 lipid droplet regulating VLDL assembly factor","HGNC:891","2p13.1"
"TGFBR1","Approved symbol","TGFBR1","transforming growth factor beta receptor 1","HGNC:11772","9q22.33"
"CBX1","Approved symbol","CBX1","chromobox 1","HGNC:1551","17q21.32"
"CDC42","Approved symbol","CDC42","cell division cycle 42","HGNC:1736","1p36.12"
"MAFB","Approved symbol","MAFB","MAF bZIP transcription factor B","HGNC:6408","20q12"
"UBE2Q1","Approved symbol","UBE2Q1","ubiquitin conjugating enzyme E2 Q1","HGNC:15698","1q21.3"
"SNRPD3","Approved symbol","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","HGNC:11160","22q11.23"
"TUBB4B","Approved symbol","TUBB4B","tubulin beta 4B class IVb","HGNC:20771","9q34.3"
"PRKACA","Approved symbol","PRKACA","protein kinase cAMP-activated catalytic subunit alpha","HGNC:9380","19p13.12"
"EIF4A3","Approved symbol","EIF4A3","eukaryotic translation initiation factor 4A3","HGNC:18683","17q25.3"
"LRP1","Approved symbol","LRP1","LDL receptor related protein 1","HGNC:6692","12q13.3"
"CACNA1B","Approved symbol","CACNA1B","calcium voltage-gated channel subunit alpha1 B","HGNC:1389","9q34.3"
"FBXL19","Approved symbol","FBXL19","F-box and leucine rich repeat protein 19","HGNC:25300","16p11.2"
"SOX5","Approved symbol","SOX5","SRY-box transcription factor 5","HGNC:11201","12p12.1"
"SPOP","Approved symbol","SPOP","speckle type BTB/POZ protein","HGNC:11254","17q21.33"
"MAPK8IP2","Approved symbol","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","HGNC:6883","22q13.33"
"RNF41","Approved symbol","RNF41","ring finger protein 41","HGNC:18401","12q13.3"
"MARK2","Approved symbol","MARK2","microtubule affinity regulating kinase 2","HGNC:3332","11q13.1"
"DDX42","Approved symbol","DDX42","DEAD-box helicase 42","HGNC:18676","17q23.3"
"CPEB1","Approved symbol","CPEB1","cytoplasmic polyadenylation element binding protein 1","HGNC:21744","15q25.2"
"CUL1","Approved symbol","CUL1","cullin 1","HGNC:2551","7q36.1"
"VEZF1","Approved symbol","VEZF1","vascular endothelial zinc finger 1","HGNC:12949","17q22"
"GRIN2A","Approved symbol","GRIN2A","glutamate ionotropic receptor NMDA type subunit 2A","HGNC:4585","16p13.2"
"TERF2","Approved symbol","TERF2","telomeric repeat binding factor 2","HGNC:11729","16q22.1"
"KHSRP","Approved symbol","KHSRP","KH-type splicing regulatory protein","HGNC:6316","19p13.3"
"CTCF","Approved symbol","CTCF","CCCTC-binding factor","HGNC:13723","16q22.1"
"USP5","Approved symbol","USP5","ubiquitin specific peptidase 5","HGNC:12628","12p13.31"
"ATP2A2","Approved symbol","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","HGNC:812","12q24.11"
"IRX2","Approved symbol","IRX2","iroquois homeobox 2","HGNC:14359","5p15.33"
"SMARCD1","Approved symbol","SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","HGNC:11106","12q13.12"
"PBRM1","Approved symbol","PBRM1","polybromo 1","HGNC:30064","3p21.1"
"KAT7","Approved symbol","KAT7","lysine acetyltransferase 7","HGNC:17016","17q21.33"
"TGFB1","Approved symbol","TGFB1","transforming growth factor beta 1","HGNC:11766","19q13.2"
"PAPD7","Previous symbol","TENT4A","terminal nucleotidyltransferase 4A","HGNC:16705","5p15.31"
"PA2G4","Approved symbol","PA2G4","proliferation-associated 2G4","HGNC:8550","12q13.2"
"ARHGEF12","Approved symbol","ARHGEF12","Rho guanine nucleotide exchange factor 12","HGNC:14193","11q23.3"
"ARID1B","Approved symbol","ARID1B","AT-rich interaction domain 1B","HGNC:18040","6q25.3"
"SF3B3","Approved symbol","SF3B3","splicing factor 3b subunit 3","HGNC:10770","16q22.1"
"MYH10","Approved symbol","MYH10","myosin heavy chain 10","HGNC:7568","17p13.1"
"SETDB1","Approved symbol","SETDB1","SET domain bifurcated histone lysine methyltransferase 1","HGNC:10761","1q21.3"
"PIP4K2B","Approved symbol","PIP4K2B","phosphatidylinositol-5-phosphate 4-kinase type 2 beta","HGNC:8998","17q12"
"TUBA1A","Approved symbol","TUBA1A","tubulin alpha 1a","HGNC:20766","12q13.12"
"CLK2","Approved symbol","CLK2","CDC like kinase 2","HGNC:2069","1q22"
"EP400","Approved symbol","EP400","E1A binding protein p400","HGNC:11958","12q24.33"
"CUL4A","Approved symbol","CUL4A","cullin 4A","HGNC:2554","13q34"
"PTPRA","Approved symbol","PTPRA","protein tyrosine phosphatase receptor type A","HGNC:9664","20p13"
"KCNMA1","Approved symbol","KCNMA1","potassium calcium-activated channel subfamily M alpha 1","HGNC:6284","10q22.3"
"KALRN","Approved symbol","KALRN","kalirin RhoGEF kinase","HGNC:4814","3q21.1-q21.2"
"PPP5C","Approved symbol","PPP5C","protein phosphatase 5 catalytic subunit","HGNC:9322","19q13.32"
"KCNJ5","Approved symbol","KCNJ5","potassium inwardly rectifying channel subfamily J member 5","HGNC:6266","11q24.3"
"CSNK1A1","Approved symbol","CSNK1A1","casein kinase 1 alpha 1","HGNC:2451","5q32"
"CYTH3","Approved symbol","CYTH3","cytohesin 3","HGNC:9504","7p22.1"
"UBE2L3","Approved symbol","UBE2L3","ubiquitin conjugating enzyme E2 L3","HGNC:12488","22q11.21"
"CS","Approved symbol","CS","citrate synthase","HGNC:2422","12q13.3"
"CTNNB1","Approved symbol","CTNNB1","catenin beta 1","HGNC:2514","3p22.1"
"ANKHD1","Approved symbol","ANKHD1","ankyrin repeat and KH domain containing 1","HGNC:24714","5q31.3"
"EBF1","Approved symbol","EBF1","EBF transcription factor 1","HGNC:3126","5q33.3"
"NRAS","Approved symbol","NRAS","NRAS proto-oncogene, GTPase","HGNC:7989","1p13.2"
"OPCML","Approved symbol","OPCML","opioid binding protein/cell adhesion molecule like","HGNC:8143","11q25"
"MICAL3","Approved symbol","MICAL3","microtubule associated monooxygenase, calponin and LIM domain containing 3","HGNC:24694","22q11.21"
"PRPF19","Approved symbol","PRPF19","pre-mRNA processing factor 19","HGNC:17896","11q12.2"
"SPSB1","Approved symbol","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1","HGNC:30628","1p36.22"
"HTRA2","Approved symbol","HTRA2","HtrA serine peptidase 2","HGNC:14348","2p13.1"
"PSMC2","Approved symbol","PSMC2","proteasome 26S subunit, ATPase 2","HGNC:9548","7q22.1"
"RAB11A","Approved symbol","RAB11A","RAB11A, member RAS oncogene family","HGNC:9760","15q22.31"
"EBF3","Approved symbol","EBF3","EBF transcription factor 3","HGNC:19087","10q26.3"
"PSMC5","Approved symbol","PSMC5","proteasome 26S subunit, ATPase 5","HGNC:9552","17q23.3"
"LORICRIN","Approved symbol","LORICRIN","loricrin cornified envelope precursor protein","HGNC:6663","1q21.3"
"TLX2","Approved symbol","TLX2","T cell leukemia homeobox 2","HGNC:5057","2p13.1"
"PRPF3","Approved symbol","PRPF3","pre-mRNA processing factor 3","HGNC:17348","1q21.2"
"TLK2","Approved symbol","TLK2","tousled like kinase 2","HGNC:11842","17q23.2"
"KDM1A","Approved symbol","KDM1A","lysine demethylase 1A","HGNC:29079","1p36.12"
"TBX15","Approved symbol","TBX15","T-box transcription factor 15","HGNC:11594","1p12"
"HDAC3","Approved symbol","HDAC3","histone deacetylase 3","HGNC:4854","5q31.3"
"EN2","Approved symbol","EN2","engrailed homeobox 2","HGNC:3343","7q36.3"
"RPS6KB1","Approved symbol","RPS6KB1","ribosomal protein S6 kinase B1","HGNC:10436","17q23.1"
"DPF2","Approved symbol","DPF2","double PHD fingers 2","HGNC:9964","11q13.1"
"GBX2","Approved symbol","GBX2","gastrulation brain homeobox 2","HGNC:4186","2q37.2"
"PATZ1","Approved symbol","PATZ1","POZ/BTB and AT hook containing zinc finger 1","HGNC:13071","22q12.2"
"MEF2C","Approved symbol","MEF2C","myocyte enhancer factor 2C","HGNC:6996","5q14.3"
"KMT2A","Approved symbol","KMT2A","lysine methyltransferase 2A","HGNC:7132","11q23.3"
"DHX8","Approved symbol","DHX8","DEAH-box helicase 8","HGNC:2749","17q21.31"
"MBTD1","Approved symbol","MBTD1","mbt domain containing 1","HGNC:19866","17q21.33"
"SPTAN1","Approved symbol","SPTAN1","spectrin alpha, non-erythrocytic 1","HGNC:11273","9q34.11"
"CENPB","Approved symbol","CENPB","centromere protein B","HGNC:1852","20p13"
"RNF31","Approved symbol","RNF31","ring finger protein 31","HGNC:16031","14q12"
"TBX3","Approved symbol","TBX3","T-box transcription factor 3","HGNC:11602","12q24.21"
"CNOT1","Approved symbol","CNOT1","CCR4-NOT transcription complex subunit 1","HGNC:7877","16q21"
"DLL1","Approved symbol","DLL1","delta like canonical Notch ligand 1","HGNC:2908","6q27"
"JAG1","Approved symbol","JAG1","jagged canonical Notch ligand 1","HGNC:6188","20p12.2"
"RXRB","Approved symbol","RXRB","retinoid X receptor beta","HGNC:10478","6p21.32"
"AP2B1","Approved symbol","AP2B1","adaptor related protein complex 2 subunit beta 1","HGNC:563","17q12"
"TUBG1","Approved symbol","TUBG1","tubulin gamma 1","HGNC:12417","17q21.31"
"CLPTM1","Approved symbol","CLPTM1","CLPTM1 regulator of GABA type A receptor forward trafficking","HGNC:2087","19q13.32"
"MAPK1","Approved symbol","MAPK1","mitogen-activated protein kinase 1","HGNC:6871","22q11.22"
"PI4KB","Approved symbol","PI4KB","phosphatidylinositol 4-kinase beta","HGNC:8984","1q21.3"
"PIK3R2","Approved symbol","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","HGNC:8980","19p13.11"
"INTS3","Approved symbol","INTS3","integrator complex subunit 3","HGNC:26153","1q21.3"
"LY6D","Approved symbol","LY6D","lymphocyte antigen 6 family member D","HGNC:13348","8q24.3"
"MAB21L2","Approved symbol","MAB21L2","mab-21 like 2","HGNC:6758","4q31.3"
"NAA60","Approved symbol","NAA60","N-alpha-acetyltransferase 60, NatF catalytic subunit","HGNC:25875","16p13.3"
"ELAVL1","Approved symbol","ELAVL1","ELAV like RNA binding protein 1","HGNC:3312","19p13.2"
"WNK1","Approved symbol","WNK1","WNK lysine deficient protein kinase 1","HGNC:14540","12p13.33"
"KCNC1","Approved symbol","KCNC1","potassium voltage-gated channel subfamily C member 1","HGNC:6233","11p15.1"
"INO80","Approved symbol","INO80","INO80 complex ATPase subunit","HGNC:26956","15q15.1"
"TRIM33","Approved symbol","TRIM33","tripartite motif containing 33","HGNC:16290","1p13.2"
"DDX39B","Approved symbol","DDX39B","DExD-box helicase 39B","HGNC:13917","6p21.33"
"PPP3CB","Approved symbol","PPP3CB","protein phosphatase 3 catalytic subunit beta","HGNC:9315","10q22.2"
"CAMTA1","Approved symbol","CAMTA1","calmodulin binding transcription activator 1","HGNC:18806","1p36.31-p36.23"
"SENP3","Approved symbol","SENP3","SUMO specific peptidase 3","HGNC:17862","17p13"
"TNIK","Approved symbol","TNIK","TRAF2 and NCK interacting kinase","HGNC:30765","3q26.2-q26.31"
"NF1","Approved symbol","NF1","neurofibromin 1","HGNC:7765","17q11.2"
"AKT3","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44"
"GTPBP2","Approved symbol","GTPBP2","GTP binding protein 2","HGNC:4670","6p21.1"
"TRIM39","Approved symbol","TRIM39","tripartite motif containing 39","HGNC:10065","6p22.1"
"KMT2D","Approved symbol","KMT2D","lysine methyltransferase 2D","HGNC:7133","12q13.12"
"RRAS2","Approved symbol","RRAS2","RAS related 2","HGNC:17271","11p15.2"
"BAG6","Approved symbol","BAG6","BAG cochaperone 6","HGNC:13919","6p21.33"
"IRX1","Approved symbol","IRX1","iroquois homeobox 1","HGNC:14358","5p15.33"
"GRHL1","Approved symbol","GRHL1","grainyhead like transcription factor 1","HGNC:17923","2p25.1"
"RYR2","Approved symbol","RYR2","ryanodine receptor 2","HGNC:10484","1q43"
"CDC42BPA","Approved symbol","CDC42BPA","CDC42 binding protein kinase alpha","HGNC:1737","1q42.13"
"WWP2","Approved symbol","WWP2","WW domain containing E3 ubiquitin protein ligase 2","HGNC:16804","16q22.1"
"TRIP12","Approved symbol","TRIP12","thyroid hormone receptor interactor 12","HGNC:12306","2q36.3"
"FXR2","Approved symbol","FXR2","FMR1 autosomal homolog 2","HGNC:4024","17p13.1"
"CHD2","Approved symbol","CHD2","chromodomain helicase DNA binding protein 2","HGNC:1917","15q26.1"
"KMT2E","Approved symbol","KMT2E","lysine methyltransferase 2E (inactive)","HGNC:18541","7q22.3"
"RTF1","Approved symbol","RTF1","RTF1 homolog, Paf1/RNA polymerase II complex component","HGNC:28996","15q15.1"
"ZBTB18","Approved symbol","ZBTB18","zinc finger and BTB domain containing 18","HGNC:13030","1q44"
"SF3B4","Approved symbol","SF3B4","splicing factor 3b subunit 4","HGNC:10771","1q21.2"
"ELAVL3","Approved symbol","ELAVL3","ELAV like RNA binding protein 3","HGNC:3314","19p13.2"
"MBD1","Approved symbol","MBD1","methyl-CpG binding domain protein 1","HGNC:6916","18q21.1"
"IGF1R","Approved symbol","IGF1R","insulin like growth factor 1 receptor","HGNC:5465","15q26.3"
"NFYC","Approved symbol","NFYC","nuclear transcription factor Y subunit gamma","HGNC:7806","1p34.2"
"DDX6","Approved symbol","DDX6","DEAD-box helicase 6","HGNC:2747","11q23.3"
"PRR12","Approved symbol","PRR12","proline rich 12","HGNC:29217","19q13.33"
"SF3B2","Approved symbol","SF3B2","splicing factor 3b subunit 2","HGNC:10769","11q13.1"
"EP300","Approved symbol","EP300","E1A binding protein p300","HGNC:3373","22q13.2"
"TMEM229A","Approved symbol","TMEM229A","transmembrane protein 229A","HGNC:37279","7q31.32"
"USP19","Approved symbol","USP19","ubiquitin specific peptidase 19","HGNC:12617","3p21.31"
"CKAP5","Approved symbol","CKAP5","cytoskeleton associated protein 5","HGNC:28959","11p11.2"
"BAZ2A","Approved symbol","BAZ2A","bromodomain adjacent to zinc finger domain 2A","HGNC:962","12q13.3"
"SMARCA2","Approved symbol","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","HGNC:11098","9p24.3"
"DNAJA2","Approved symbol","DNAJA2","DnaJ heat shock protein family (Hsp40) member A2","HGNC:14884","16q11.2"
"VPS39","Approved symbol","VPS39","VPS39 subunit of HOPS complex","HGNC:20593","15q15.1"
"COL1A1","Approved symbol","COL1A1","collagen type I alpha 1 chain","HGNC:2197","17q21.33"
"SF3A1","Approved symbol","SF3A1","splicing factor 3a subunit 1","HGNC:10765","22q12.2"
"GLI3","Approved symbol","GLI3","GLI family zinc finger 3","HGNC:4319","7p14.1"
"CBX5","Approved symbol","CBX5","chromobox 5","HGNC:1555","12q13.13"
"MORC2","Approved symbol","MORC2","MORC family CW-type zinc finger 2","HGNC:23573","22q12.2"
"TLN1","Approved symbol","TLN1","talin 1","HGNC:11845","9p13.3"
"SYNE1","Approved symbol","SYNE1","spectrin repeat containing nuclear envelope protein 1","HGNC:17089","6q25.2"
"SOS1","Approved symbol","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","HGNC:11187","2p22.1"
"WNT3","Approved symbol","WNT3","Wnt family member 3","HGNC:12782","17q21.31-q21.32"
"RELA","Approved symbol","RELA","RELA proto-oncogene, NF-kB subunit","HGNC:9955","11q13.1"
"TNPO2","Approved symbol","TNPO2","transportin 2","HGNC:19998","19p13.13"
"UBE2QL1","Approved symbol","UBE2QL1","ubiquitin conjugating enzyme E2 QL1","HGNC:37269","5p15.31"
"CAD","Approved symbol","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","HGNC:1424","2p23.3"
"ARHGDIG","Approved symbol","ARHGDIG","Rho GDP dissociation inhibitor gamma","HGNC:680","16p13.3"
"ANKRD52","Approved symbol","ANKRD52","ankyrin repeat domain 52","HGNC:26614","12q13.3"
"CANX","Approved symbol","CANX","calnexin","HGNC:1473","5q35.3"
"COL5A1","Approved symbol","COL5A1","collagen type V alpha 1 chain","HGNC:2209","9q34.3"
"TFAP2B","Approved symbol","TFAP2B","transcription factor AP-2 beta","HGNC:11743","6p12.3"
"NUP188","Approved symbol","NUP188","nucleoporin 188","HGNC:17859","9q34.11"
"FBN1","Approved symbol","FBN1","fibrillin 1","HGNC:3603","15q21.1"
"QRICH1","Approved symbol","QRICH1","glutamine rich 1","HGNC:24713","3p21.31"
"BRPF3","Approved symbol","BRPF3","bromodomain and PHD finger containing 3","HGNC:14256","6p21.31"
"RNF208","Approved symbol","RNF208","ring finger protein 208","HGNC:25420","9q34.3"
"OXT","Approved symbol","OXT","oxytocin/neurophysin I prepropeptide","HGNC:8528","20p13"
"ZMYND8","Approved symbol","ZMYND8","zinc finger MYND-type containing 8","HGNC:9397","20q13.12"
"IPO13","Approved symbol","IPO13","importin 13","HGNC:16853","1p34.1"
