HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HIscore	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
GAMT	HGNC:4136	NA	NA	0.2823251777025	30.0	5.633570382	0.464438753	1.693533582	False	True
DRD1	HGNC:3020	0.9555	0.307	0.973899710751532	NA	2.588614909	0.452807109	0.280258978	False	False
LOX	HGNC:6664	0.98769	0.285	0.888183800275118	NA	1.358857965	NA	0.323935818	False	False
ARID4A	HGNC:9885	1.0	0.139	0.991352567694585	NA	0.6406263808	0.394141402	0.106330543	False	False
COX6B1	HGNC:2280	NA	NA	0.140727987571173	30.0	0.02815189923	0.49248519	NA	False	True
BCL11A	HGNC:13221	NA	NA	0.995645194511857	3.0	3.4882490510000004	NA	NA	False	True
ALDOA	HGNC:414	NA	NA	0.193391992571928	30.0	2.118859072	0.33795874	NA	True	False
MAPK8IP2	HGNC:6883	0.99997	0.1	0.984736723673335	NA	3.5710278310000003	0.458907656	0.092273133	False	False
CRYBA1	HGNC:2394	6.4088e-05	1.002	NA	0.0	0.9221247275	0.547672846	0.928015121	False	True
PPFIA3	HGNC:9247	1.0	0.121	0.877938155172222	NA	4.589456545	0.539732577	0.075053661	False	False
EIF2B4	HGNC:3260	NA	NA	0.822034630415486	NA	2.916068526	0.386832988	0.308781064	False	True
INHBA	HGNC:6066	0.97979	0.251	0.972108392551449	NA	2.811541103	NA	0.0	False	False
NARS1	HGNC:7643	2.9489e-09	0.781	0.679725051555394	NA	0.08761407329	0.52911875	0.674168474	False	True
LMBRD1	HGNC:23038	NA	NA	0.121403678828457	NA	1.783836737	NA	NA	False	True
GDF11	HGNC:4216	0.97645	0.298	0.64298520876744	NA	3.067997264	0.568866655	0.107392597	False	True
FBXL16	HGNC:14150	0.96981	0.311	0.551560400921638	NA	5.153577199	0.583679585	0.112035576	False	False
PTPN4	HGNC:9656	0.99663	0.279	0.740647335142884	NA	2.872901119	0.470070976	0.200171268	False	False
DHX15	HGNC:2738	1.0	0.105	0.996421712491873	NA	1.986180441	0.705434682	0.067210902	False	False
CA8	HGNC:1382	0.0082516	0.67	0.299982741366559	30.0	1.762920126	0.586651144	0.522240213	False	True
CCNA2	HGNC:1578	0.99962	0.132	0.862503047458797	NA	2.031607332	NA	0.15459775	False	False
SUFU	HGNC:16466	0.99992	0.111	0.965391870615894	NA	2.8256978160000004	0.599041405	0.064696866	True	True
LHX2	HGNC:6594	0.98812	0.224	0.984803188229195	NA	4.387544502	0.571833983	0.0	False	False
NAPB	HGNC:15751	0.11216	0.582	0.252727996215227	NA	1.740264854	0.5686877	0.397784422	False	True
DOCK6	HGNC:19189	1.2563e-26	0.717	0.370296225914244	NA	2.435263506	0.500546098	0.937198512	True	True
GCSH	HGNC:4208	0.001602	1.423	0.850798154208376	30.0	0.4192204299	0.491492652	1.480081439	False	True
RAD51D	HGNC:9823	NA	NA	0.160454585975403	2.0	2.369390567	0.371808183	1.121252412	True	True
USH1C	HGNC:12597	3.9714e-18	0.888	0.675109978586656	30.0	2.16338271	0.430073033	0.851133818	True	True
DNAAF3	HGNC:30492	NA	NA	0.650564512162821	NA	5.412512501	0.347515135	1.426455438	False	True
NAA25	HGNC:25783	1.0	0.108	0.993534395602037	NA	3.794119208	0.466833243	0.077871897	False	False
IRF2BPL	HGNC:14282	0.83623	0.405	0.368668494425664	NA	2.2095773380000003	0.578477966	NA	False	True
SEC62	HGNC:11846	0.98295	0.297	0.935950311158047	NA	3.719426767	0.525617443	0.117435099	False	False
CHD4	HGNC:1919	NA	NA	0.99769613330723	1.0	2.003276673	0.687787366	0.112676767	False	True
SMPD1	HGNC:11120	3.8932e-10	1.085	0.644161689334697	NA	1.683254923	0.398412045	1.228297021	True	True
LEF1	HGNC:6551	0.99789	0.212	0.978642576634827	NA	4.90559699	0.48232848	0.152235446	False	True
USH2A	HGNC:12601	1.5692e-94	0.857	0.0754407669249199	30.0	2.790791555	0.261376071	0.849576986	True	True
XKR6	HGNC:27806	0.99934	0.186	0.978839264530838	NA	1.147075819	0.507754624	0.096399883	False	False
NAMPT	HGNC:30092	0.97914	0.309	0.767103828913275	NA	3.577325863	0.538150736	0.23254147	False	False
CDC34	HGNC:1734	0.95625	0.305	0.575998585359144	NA	1.056893847	0.625600498	0.751143308	False	False
ZBTB18	HGNC:13030	0.99658	0.179	0.99917231325902	3.0	3.865798629	NA	0.0	False	True
REV1	HGNC:14060	0.99989	0.236	0.948742339170586	NA	0.2582797256	0.36314094	0.17755889	False	False
LTBP3	HGNC:6716	0.68647	0.335	0.46277084664404	NA	1.810517443	0.472918232	0.488950223	False	True
MPZL2	HGNC:3496	1.0755e-12	1.864	0.553737538117581	NA	3.04483786	0.378095704	2.052341339	True	False
KPNA1	HGNC:6394	0.99818	0.245	0.848253233974338	NA	2.50941735	0.597231801	0.185729841	False	False
EPHB1	HGNC:3392	0.9985	0.257	0.914512399702987	NA	2.667702194	0.621284263	0.192890618	False	False
CYP19A1	HGNC:2594	1.7022e-05	0.877	0.281119421453842	NA	1.02681694	0.344873105	0.751119523	True	False
STAG2	HGNC:11355	NA	NA	NA	3.0	NA	0.627382375	NA	True	True
SLC19A3	HGNC:16266	NA	NA	0.393358268093738	NA	2.500087704	0.308419618	NA	True	True
TMPRSS3	HGNC:11877	NA	NA	0.580492692552332	30.0	5.221947157	0.403910555	NA	True	False
FANCE	HGNC:3586	1.5278e-06	0.892	0.255716653060053	30.0	4.503813486	0.234719245	0.953214678	False	True
OPN1LW	HGNC:9936	0.97535	0.263	NA	NA	NA	0.581210443	NA	False	True
TBX2	HGNC:11597	0.99329	0.246	0.990398920659873	1.0	6.511864297000001	0.488871669	0.150667041	False	False
HNRNPUL1	HGNC:17011	0.99999	0.186	0.986097256707858	NA	NA	0.537150929	0.084201919	False	False
CHRNG	HGNC:1967	NA	NA	0.482476863610236	NA	2.493201815	NA	NA	True	True
ITGA8	HGNC:6144	6.0785e-13	0.664	0.626856891190024	NA	2.234211404	0.416729463	0.653551208	False	True
PHF3	HGNC:8921	0.99256	0.286	0.983163843012466	1.0	0.9120074639	0.360489514	0.23059492	False	False
RAPH1	HGNC:14436	0.99985	0.223	0.989979507193176	NA	1.997688498	0.409964126	0.192432539	False	False
SIX1	HGNC:10887	NA	NA	0.961065005347381	0.0	4.454124231000001	NA	NA	False	True
DSC2	HGNC:3036	5.1749e-08	0.689	0.467482510966794	2.0	2.7955783	0.362927889	0.679619055	True	False
MTMR3	HGNC:7451	0.99937	0.258	0.968474929714371	NA	0.8405203034000001	0.451513607	0.145026245	False	False
RPS18	HGNC:10401	0.9759	0.261	0.886792749296231	NA	NA	0.808544236	0.0	False	False
PTPN12	HGNC:9645	0.99996	0.186	0.932745115412458	NA	-0.06586148605	0.430956987	0.257122759	False	False
PPME1	HGNC:30178	0.99904	0.193	0.679430732349297	NA	2.395688679	0.566014344	0.16008001	False	False
CHERP	HGNC:16930	1.0	0.062	0.920842491252668	NA	NA	0.5414938	0.01890972	False	False
ESRP1	HGNC:25966	0.99934	0.236	0.974668947022591	NA	1.72109101	0.513002102	0.206948643	False	False
DPH5	HGNC:24270	8.1083e-07	1.269	0.223817616082048	NA	1.463580577	0.469227936	1.504097811	False	True
PTH	HGNC:9606	0.012093	1.695	NA	NA	NA	0.286929538	0.94335016	False	True
KIZ	HGNC:15865	NA	NA	NA	NA	NA	NA	NA	False	True
TTPA	HGNC:12404	0.0014409	1.091	0.301967738812801	NA	0.6978929937999999	0.466849414	1.177444152	False	True
FNTA	HGNC:3782	0.94721	0.345	0.833568016885458	NA	1.303658853	0.536486508	0.343850186	False	False
MYH2	HGNC:7572	3.6703e-23	0.686	0.623228466608329	NA	3.1334902760000003	0.57571342	0.672821703	True	False
PRDM12	HGNC:13997	0.93018	0.368	0.98097832852683	NA	3.992112865	0.571209267	0.22845244	False	True
CHD3	HGNC:1918	NA	NA	0.978261334885583	NA	3.319256069	0.639278308	0.141524709	True	False
FASTKD2	HGNC:29160	NA	NA	0.607685089365497	NA	2.152520928	0.282011366	0.821908073	True	False
RBBP4	HGNC:9887	0.99565	0.253	0.981887902761185	NA	1.42185968	0.745611461	0.106995568	False	False
OTULIN	HGNC:25118	0.2201	0.579	0.9113423275735	NA	NA	0.409781723	0.304091587	False	True
MED13	HGNC:22474	1.0	0.03	0.998662508971753	NA	-1.030407595	0.444908599	0.014082115	False	True
HYCC1	HGNC:24587	0.12103	0.485	0.612314214047997	NA	2.442182914	0.389315245	0.501043019	False	True
CCDC40	HGNC:26090	3.8155e-17	0.845	0.889708074694918	30.0	6.875626149	0.234576473	1.074801717	False	True
CCT6A	HGNC:1620	0.99532	0.255	0.950507814861947	NA	NA	0.601154331	0.157033501	False	False
HFE	HGNC:4886	2.5587e-08	1.186	0.214387054992073	30.0	2.010554556	0.340013081	1.055053625	False	True
MAML2	HGNC:16259	0.99987	0.228	0.962486620105006	NA	2.33728586	0.323134559	0.282379176	False	False
JMJD1C	HGNC:12313	1.0	0.072	0.993162855163305	NA	1.627957699	0.355362732	0.054278248	False	False
KPNA6	HGNC:6399	0.9994	0.224	0.871517904918207	NA	1.369660481	0.590591903	0.127138015	False	False
SNRPA1	HGNC:11152	0.98984	0.217	0.995570383719979	NA	4.878401371	0.655631387	0.0	False	False
NOTCH1	HGNC:7881	NA	NA	0.980499738892527	NA	3.3480851	NA	NA	True	True
YPEL2	HGNC:18326	0.95044	0.316	0.696376652446056	NA	3.49122152	0.698201086	0.0	False	False
CHRDL1	HGNC:29861	0.2164	0.522	NA	3.0	NA	0.389649379	NA	False	True
CEP350	HGNC:24238	1.0	0.184	0.966189461980212	NA	2.83177696	0.300896754	0.179976355	False	False
SLC12A3	HGNC:10912	NA	NA	0.144080612314023	30.0	2.836688003	0.467391231	1.234934342	True	False
SPPL3	HGNC:30424	0.99656	0.179	0.777063215161143	NA	1.324161156	0.650793831	0.148973819	False	False
GARS1	HGNC:4162	0.3065	0.402	0.816842099543319	NA	2.600826213	0.531037384	0.359707971	True	False
SF3B4	HGNC:10771	0.99176	0.208	0.86992668896439	3.0	3.094796989	0.58959582	0.098922265	False	True
SGSH	HGNC:10818	0.00010158	0.804	0.721818977050679	30.0	NA	0.465428496	0.967410568	False	True
DLL1	HGNC:2908	0.99999	0.095	0.99949192268788	3.0	4.979150182	0.447742782	0.0	True	False
UBR5	HGNC:16806	1.0	0.073	0.997790284656946	NA	1.996979129	0.621314122	0.040825986	False	False
TRAPPC11	HGNC:25751	4.5628e-10	0.569	0.671178472329107	NA	1.490744694	0.489476572	0.542205101	False	True
MTRR	HGNC:7473	NA	NA	0.809966620632125	30.0	2.04222857	0.287883835	0.91249487	False	True
ZMYM4	HGNC:13055	1.0	0.175	0.978646389965219	NA	0.9966489936	0.465920446	0.122031901	False	False
USP32	HGNC:19143	1.0	0.224	0.986318724126408	NA	3.1583622460000003	0.548487901	0.171200055	False	False
GOSR2	HGNC:4431	NA	NA	0.388214390886254	NA	0.4407772896	NA	NA	True	False
MRPS22	HGNC:14508	NA	NA	0.258563384180679	NA	NA	0.340523712	NA	True	False
SCN1A	HGNC:10585	NA	NA	0.954298029740623	3.0	2.190806149	0.616113984	NA	True	True
ALDH1A3	HGNC:409	0.14128	0.511	0.992667857797908	30.0	5.05859068	0.479008538	0.540108168	False	True
PHEX	HGNC:8918	0.99996	0.143	NA	3.0	NA	0.462902588	NA	True	False
DYNC1H1	HGNC:2961	1.0	0.08	0.975054205137356	NA	2.821806959	0.639325707	0.067851559	False	False
DDOST	HGNC:2728	NA	NA	0.405301042044298	30.0	NA	0.559433096	0.653800878	False	True
USH1G	HGNC:16356	NA	NA	0.858084326448178	30.0	4.611593718	NA	NA	False	True
TTLL5	HGNC:19963	2.9217e-22	0.757	0.573387903799221	30.0	2.644948383	0.419032632	0.862647184	True	True
ULK1	HGNC:12558	0.99318	0.288	0.74395874039397	NA	6.025455869	0.38740033	0.236692486	False	False
CUX2	HGNC:19347	1.0	0.187	0.992990852150388	NA	5.968953045	0.402243257	0.129550066	False	False
APC	HGNC:583	NA	NA	0.968343772302469	3.0	3.174840359	0.436272957	0.132953192	True	True
STAMBP	HGNC:16950	5.4496e-05	0.764	0.288392858262005	NA	3.641211992	0.441785332	0.711184741	False	True
PNKP	HGNC:9154	3.662e-14	1.21	0.301469942092591	NA	2.490367237	0.36949704	2.03081212	True	True
TTYH3	HGNC:22222	0.99916	0.215	0.82118803812958	NA	2.365023146	0.468063347	0.214198274	False	False
SF3B1	HGNC:10768	1.0	0.066	0.997513431989505	NA	3.892056641	0.723948444	0.020631908	False	False
KLHL40	HGNC:30372	3.5382e-06	0.924	0.51098809472326	NA	5.121236667	0.417944343	0.944507737	False	True
ADSL	HGNC:291	NA	NA	0.779308616509554	30.0	1.0457727490000002	NA	NA	True	False
CDKN2A	HGNC:1787	NA	NA	0.889228328567991	3.0	4.769367559	0.410791964	0.829464104	True	True
ANOS1	HGNC:6211	0.99793	0.248	NA	3.0	NA	0.382429695	NA	True	False
NPHS1	HGNC:7908	2.5376e-14	0.696	0.522973711251905	30.0	3.326433514	0.307382482	0.766379583	True	True
ATP6V0C	HGNC:855	0.74232	0.667	0.235246580547953	NA	5.76824632	0.710825768	0.0	False	True
COL2A1	HGNC:2200	1.0	0.134	0.994179768497895	3.0	1.864669464	0.505442851	0.096060492	True	True
